Unnamed: 0,petal length (cm),petal width (cm),sepal length (cm),sepal width (cm),Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,petal length (cm).1,petal width (cm).1,sepal length (cm).1,sepal width (cm).1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,petal length (cm).2,petal width (cm).2,sepal length (cm).2,sepal width (cm).2,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
C1,1.4,0.2,5.1,3.5,,,,,,,C1,1.4921568627450983,0.2627450980392156,5.007843137254902,3.409803921568628,,,,,,,C1,1.560377358490566,0.29056603773584894,5.005660377358491,3.369811320754718,,,,,
C2,4.7,1.6,6.3,3.3,,,,,,,C2,4.925252525252526,1.6818181818181823,6.273737373737371,2.8757575757575764,,,,,,,C2,4.958762886597939,1.6958762886597945,6.30103092783505,2.8865979381443303,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,petal length (cm),petal width (cm),sepal length (cm),sepal width (cm),Jarak C1,Jarak C2,Jarak Minimum,Cluster,(Jarak Minimum)^2,,No,petal length (cm),petal width (cm),sepal length (cm),sepal width (cm),Jarak C1,Jarak C2,Jarak Minimum,Cluster,(Jarak Minimum)^2,,No,petal length (cm),petal width (cm),sepal length (cm),sepal width (cm),Jarak C1,Jarak C2,Jarak Minimum,Cluster,(Jarak Minimum)^2
1,1.4,0.2,5.1,3.5,0,3.7854986461495406,0,C1,0,,1,1.4,0.2,5.1,3.5,0.17046423259554078,4.048521769423776,0.17046423259554078,C1,0.029058054594386627,,1,1.4,0.2,5.1,3.5,0.24448345733680227,4.089153522809655,0.24448345733680227,C1,0.059772160911356016
2,1.4,0.2,4.9,3,0.5385164807134502,3.8600518131237567,0.5385164807134502,C1,0.2899999999999997,,2,1.4,0.2,4.9,3,0.43817716858021666,4.06519139066671,0.43817716858021666,C1,0.1919992310649756,,2,1.4,0.2,4.9,3,0.4264359654267803,4.108307053079766,0.4264359654267803,C1,0.18184763260947018
3,1.3,0.2,4.7,3.2,0.509901951359278,4.011234224026317,0.509901951359278,C1,0.25999999999999945,,3,1.3,0.2,4.7,3.2,0.42384701236236716,4.2332048694804705,0.42384701236236716,C1,0.17964628988850462,,3,1.3,0.2,4.7,3.2,0.44526702881427505,4.276179675315436,0.44526702881427505,C1,0.19826272694909244
4,1.5,0.2,4.6,3.1,0.648074069840786,3.889730067755345,0.648074069840786,C1,0.41999999999999993,,4,1.5,0.2,4.6,3.1,0.5160551875092156,4.096318035357014,0.5160551875092156,C1,0.26631295655517173,,4,1.5,0.2,4.6,3.1,0.4992054919324388,4.140016091048142,0.4992054919324388,C1,0.24920612317550822
5,1.4,0.2,5,3.6,0.1414213562373093,3.824918299781056,0.1414213562373093,C1,0.019999999999999945,,5,1.4,0.2,5,3.6,0.22060348531163662,4.0951342440870215,0.22060348531163662,C1,0.048665897731641476,,5,1.4,0.2,5,3.6,0.29485924138834574,4.135705880626033,0.29485924138834574,C1,0.08694197223211074
6,1.7,0.4,5.4,3.9,0.616441400296898,3.407345007480164,0.616441400296898,C1,0.3800000000000004,,6,1.7,0.4,5.4,3.9,0.6753642558825554,3.722606780842014,0.6753642558825554,C1,0.4561168781237978,,6,1.7,0.4,5.4,3.9,0.6841593730292732,3.7600094918054965,0.6841593730292732,C1,0.4680740477038082
7,1.4,0.3,4.6,3.4,0.5196152422706632,3.9344631145812006,0.5196152422706632,C1,0.2700000000000001,,7,1.4,0.3,4.6,3.4,0.41989636406519576,4.172895130484766,0.41989636406519576,C1,0.17631295655517143,,7,1.4,0.3,4.6,3.4,0.4373575137957744,4.215489507855353,0.4373575137957744,C1,0.191281594873621
8,1.5,0.2,5,3.4,0.17320508075688762,3.72827037646145,0.17320508075688762,C1,0.02999999999999996,,8,1.5,0.2,5,3.4,0.06446777342264154,3.978112241044325,0.06446777342264154,C1,0.004156093810073046,,8,1.5,0.2,5,3.4,0.11309743072185408,4.019570838905926,0.11309743072185408,C1,0.012791028835884581
9,1.4,0.2,4.4,2.9,0.9219544457292882,4.076763422127902,0.9219544457292882,C1,0.849999999999999,,9,1.4,0.2,4.4,2.9,0.8011261777233365,4.258482115923423,0.8011261777233365,C1,0.6418031526336029,,9,1.4,0.2,4.4,2.9,0.7883338595537454,4.303084632894044,0.7883338595537454,C1,0.6214702741189043
10,1.5,0.1,4.9,3.1,0.4690415759823426,3.8065732621348563,0.4690415759823426,C1,0.21999999999999964,,10,1.5,0.1,4.9,3.1,0.3662732501972719,4.021435397829033,0.3662732501972719,C1,0.13415609381007335,,10,1.5,0.1,4.9,3.1,0.35202713575459366,4.064269914162747,0.35202713575459366,C1,0.12392310430758312
11,1.5,0.2,5.4,3.7,0.37416573867739483,3.629049462324811,0.37416573867739483,C1,0.1400000000000005,,11,1.5,0.2,5.4,3.7,0.4919341735079755,3.920578089759501,0.4919341735079755,C1,0.24199923106497498,,11,1.5,0.2,5.4,3.7,0.5257146892528889,3.9590612806356327,0.5257146892528889,C1,0.2763759344962615
12,1.6,0.2,4.8,3.4,0.3741657386773941,3.7188707963574106,0.3741657386773941,C1,0.13999999999999999,,12,1.6,0.2,4.8,3.4,0.24261487209776372,3.96230001978537,0.24261487209776372,C1,0.05886197616301425,,12,1.6,0.2,4.8,3.4,0.23017321321380518,4.004448716464892,0.23017321321380518,C1,0.05297970808116782
13,1.4,0.1,4.8,3,0.5916079783099615,3.9344631145812006,0.5916079783099615,C1,0.34999999999999987,,13,1.4,0.1,4.8,3,0.4961016812346026,4.137256597536809,0.4961016812346026,C1,0.24611687812379923,,13,1.4,0.1,4.8,3,0.4910121338911476,4.180618170281032,0.4910121338911476,C1,0.24109291562833826
14,1.1,0.1,4.3,3,0.9949874371066197,4.39317652729776,0.9949874371066197,C1,0.9899999999999995,,14,1.1,0.1,4.3,3,0.9215498537929243,4.587568096797119,0.9215498537929243,C1,0.8492541330257601,,14,1.1,0.1,4.3,3,0.9396699995642985,4.6318308416303084,0.9396699995642985,C1,0.8829797080811688
15,1.2,0.2,5.8,4,0.8831760866327848,3.866522985836241,0.8831760866327848,C1,0.7800000000000002,,15,1.2,0.2,5.8,4,1.032054497576041,4.190661001394569,1.032054497576041,C1,1.0651364859669346,,15,1.2,0.2,5.8,4,1.0799015025690895,4.2257118276844645,1.0799015025690895,C1,1.166187255250977
16,1.5,0.4,5.7,4.4,1.1045361017187267,3.6400549446402595,1.1045361017187267,C1,1.2200000000000015,,16,1.5,0.4,5.7,4.4,1.2159234430260273,4.003486262605625,1.2159234430260273,C1,1.4784698193002686,,16,1.5,0.4,5.7,4.4,1.2486062005012721,4.036577763187679,1.2486062005012721,C1,1.559017443930223
17,1.3,0.4,5.4,3.9,0.5477225575051664,3.7643060449437424,0.5477225575051664,C1,0.3000000000000003,,17,1.3,0.4,5.4,3.9,0.6707028912416261,4.074064710454777,0.6707028912416261,C1,0.4498423683198765,,17,1.3,0.4,5.4,3.9,0.7185930242468689,4.111530334041789,0.7185930242468689,C1,0.5163759344962611
18,1.4,0.3,5.1,3.5,0.09999999999999998,3.7496666518505353,0.09999999999999998,C1,0.009999999999999995,,18,1.4,0.3,5.1,3.5,0.16281595433661747,4.012999486809658,0.16281595433661747,C1,0.026509034986543504,,18,1.4,0.3,5.1,3.5,0.22728606064645987,4.053640496562892,0.22728606064645987,C1,0.05165895336418624
19,1.7,0.3,5.7,3.8,0.7416198487095667,3.361547262794322,0.7416198487095667,C1,0.5500000000000005,,19,1.7,0.3,5.7,3.8,0.8221440261246356,3.6735642055153566,0.8221440261246356,C1,0.6759207996924255,,19,1.7,0.3,5.7,3.8,0.8287057939865191,3.709925560860652,0.8287057939865191,C1,0.6867532929868271
20,1.5,0.3,5.1,3.8,0.33166247903553986,3.6905284174491872,0.33166247903553986,C1,0.10999999999999992,,20,1.5,0.3,5.1,3.8,0.4027347880384146,3.9841761796674517,0.4027347880384146,C1,0.16219530949634675,,20,1.5,0.3,5.1,3.8,0.44463095845121064,4.023467402026324,0.44463095845121064,C1,0.1976966892132422
21,1.7,0.2,5.4,3.4,0.4358898943540679,3.4322004603461025,0.4358898943540679,C1,0.19000000000000047,,21,1.7,0.2,5.4,3.4,0.4483512450167975,3.6927342299786203,0.4483512450167975,C1,0.2010188389081124,,21,1.7,0.2,5.4,3.4,0.42908249038252044,3.7326424731114654,0.42908249038252044,C1,0.18411178355286575
22,1.5,0.4,5.1,3.7,0.30000000000000016,3.64417343165772,0.30000000000000016,C1,0.0900000000000001,,22,1.5,0.4,5.1,3.7,0.33407644963724925,3.9284154196593577,0.33407644963724925,C1,0.11160707420222954,,22,1.5,0.4,5.1,3.7,0.36543911369339793,3.968177700792313,0.36543911369339793,C1,0.13354574581701623
